Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.11800,-0.10319,0.01918,0.62684,-0.20330,-0.02145,0.01755,0.14492,-0.31115,0.13046,-0.27619,0.19091,0.09880,0.02037,1.94115,-0.39960,-0.58166,0.55535,2.88031,-0.50532,-0.28042,-0.31579,-0.01156,1.43814,1.25758,3.94741,0.37394,-0.55760,0.30041,0.52031,-0.79132,0.30906,0.13130,-0.10687
0.12000,0.18762,0.03307,-0.25825,-0.09269,-0.03209,0.00520,0.18128,-0.14564,0.00679,0.06282,-0.17986,0.42945,0.00060,0.10008,-0.89973,-0.42123,0.74248,1.69979,0.35564,0.04414,-1.09686,1.29097,-1.17370,1.47921,0.53703,-0.15765,-0.32790,-0.37620,0.51479,-0.14154,0.21017,-0.00665,-0.60275
0.12200,0.00922,0.01368,-0.52898,-0.05561,-0.04394,0.11658,-0.27998,0.07074,-0.03953,0.11203,-0.37912,0.38455,-0.72700,0.33848,-1.68068,-0.16224,2.32791,-1.10572,1.30552,0.15867,-1.29244,0.91065,0.52865,5.55617,1.04025,-0.67830,0.13730,-0.17364,-0.72239,0.58322,0.14842,0.09588,-0.43157
0.12400,-0.09474,-0.00037,0.07394,-0.06045,-0.06360,0.13408,-0.43748,0.06704,-0.22146,-0.08384,0.23080,0.31815,-0.38028,0.40137,-2.04809,-0.16928,2.69470,-0.54422,0.91174,-0.58592,-0.08963,1.13024,1.39826,4.71538,0.39926,-0.88176,0.36320,-0.00275,-0.80236,0.55082,-0.57385,-0.15108,-0.58406
0.12600,-0.12546,-0.04011,0.03509,-0.05855,0.02967,0.05496,-0.22648,0.01753,0.09134,-0.30033,0.09921,0.25897,0.84751,-0.27569,-1.67902,-0.38629,1.67887,1.49459,0.10658,-0.36420,0.98229,-1.19114,1.57633,0.14667,-0.13683,-0.65816,-0.40718,0.21041,-0.17513,0.27378,0.06033,-0.52584,-0.00781
0.12800,-0.58118,-0.12098,-0.12626,-0.06648,0.00977,-0.14040,0.08374,-0.00875,0.13954,-0.35792,0.16065,-0.53192,1.25224,-0.68791,-0.69469,-0.24120,-1.52495,3.33707,-0.17811,-0.26165,0.62634,0.37880,5.48971,0.40686,-0.76068,-0.05994,-0.73483,-0.44208,0.53193,0.14489,0.26976,-0.20973,-0.36013
0.13000,-0.44507,0.15374,-0.26505,-0.06907,-0.01295,-0.14509,0.12054,-0.60256,-0.01254,-0.04116,0.18199,0.01471,0.62404,-0.77169,-0.10396,-0.20908,-0.63217,2.31847,-0.89099,-0.00632,0.53785,1.20068,4.75305,0.02265,-1.03090,0.29707,-0.70833,-0.48012,0.57713,-1.39219,0.06647,-0.63561,-0.50473
0.13200,-0.05090,0.03869,-0.30138,0.07125,-0.01507,-0.00263,0.10365,-0.00405,-0.28793,-0.14318,0.16571,0.21688,0.16308,-0.54136,-1.25562,0.20753,1.55714,0.25689,0.83574,-0.24677,-0.92011,1.38048,-0.37576,-0.29380,-0.83577,-0.47573,-0.17389,-0.28786,0.41867,0.32611,-0.73578,-0.07898,-0.52847
0.13400,-0.08583,-0.04770,-0.26090,0.03979,-0.04329,0.13726,0.08620,0.08206,-0.34399,-0.24054,0.25411,0.49034,-0.01263,-0.02600,-2.15711,-0.80282,3.30717,-0.49817,1.31371,-0.56804,0.24828,4.90516,-0.25423,-0.85718,-0.23015,-1.15508,0.02985,-0.06265,0.31117,0.57643,-0.84816,-0.36669,-1.49264
0.13600,0.03602,-0.09506,-0.20713,0.03661,0.04632,0.08059,-0.86046,-0.00704,-0.09639,-0.26638,0.30908,0.29152,-0.01716,0.28189,-2.24477,-0.43799,2.43522,-0.48623,0.07918,-0.42984,0.87688,4.19498,-0.41134,-1.13292,0.15487,-1.23709,-0.08756,0.13048,-1.40439,0.22714,-0.44706,-0.49006,-1.35429
